customer_id,risk_level,spending_behavior,income_stability,credit_dependency_level,financial_stress_level,persona_label,confidence_score,key_signals
CUST000046,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000047,High,Erratic Spending,Unstable,High,High,Impulse Spender Under Stress,0.9,"['High risk score detected', 'High credit utilization', 'Erratic spending behavior', 'High debt-to-income stress', 'Missed 2 payments', 'Recent salary delay']"
CUST000048,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000049,Moderate,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 1 payments']
CUST000050,Low,Stable Spender,Unstable,Low,High,Moderate User,0.9,['Recent salary delay']
CUST000051,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'Missed 1 payments']"
CUST000052,Low,High Lifestyle Spender,Stable,Low,High,High Lifestyle Spender,0.9,['Missed 1 payments']
CUST000053,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000054,Low,High Lifestyle Spender,Stable,Moderate,Moderate,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000055,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000056,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'Missed 3 payments', 'Recent salary delay']"
CUST000057,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 2 payments']"
CUST000058,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000059,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 3 payments', 'Recent salary delay']"
CUST000060,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'Missed 5 payments', 'Recent salary delay']"
CUST000061,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000062,Low,Stable Spender,Stable,Low,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000063,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000064,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 1 payments', 'Recent salary delay']"
CUST000065,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 5 payments', 'Recent salary delay']"
CUST000066,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 2 payments']
CUST000067,High,Stable Spender,Stable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 4 payments']"
CUST000068,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 3 payments', 'Recent salary delay']"
CUST000069,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000070,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000071,Low,Stable Spender,Unstable,Moderate,Moderate,Moderate User,0.9,['Recent salary delay']
CUST000072,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['No immediate risk signals']
CUST000073,High,Erratic Spending,Unstable,High,High,Impulse Spender Under Stress,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 2 payments', 'Recent salary delay']"
CUST000074,High,Stable Spender,Stable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 1 payments']"
CUST000075,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000076,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000077,High,Erratic Spending,Stable,Moderate,High,Impulse Spender Under Stress,0.9,"['High risk score detected', 'High debt-to-income stress']"
CUST000078,High,High Lifestyle Spender,Stable,Moderate,High,High Lifestyle Spender,0.9,"['High risk score detected', 'Missed 2 payments']"
CUST000079,High,Erratic Spending,Unstable,High,High,Impulse Spender Under Stress,0.9,"['High risk score detected', 'High credit utilization', 'Erratic spending behavior', 'High debt-to-income stress', 'Recent salary delay']"
CUST000080,Low,Stable Spender,Unstable,Low,Low,Stable Planner,0.9,['Recent salary delay']
CUST000081,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['High debt-to-income stress']
CUST000082,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 5 payments', 'Recent salary delay']"
CUST000083,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'Missed 1 payments', 'Recent salary delay']"
CUST000084,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000085,High,Stable Spender,Stable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 1 payments']"
CUST000086,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000087,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['High risk score detected']
CUST000088,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 1 payments', 'Recent salary delay']"
CUST000089,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Recent salary delay']"
CUST000090,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 4 payments', 'Recent salary delay']"
CUST000091,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000092,Low,Stable Spender,Stable,Low,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000093,Low,High Lifestyle Spender,Stable,Moderate,Moderate,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000094,Moderate,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000095,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000096,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000097,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000098,Low,High Lifestyle Spender,Stable,Moderate,Low,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000099,Low,High Lifestyle Spender,Unstable,Moderate,High,High Lifestyle Spender,0.9,['Recent salary delay']
CUST000100,Low,High Lifestyle Spender,Stable,Low,Moderate,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000101,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 1 payments']
CUST000102,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 1 payments']
CUST000103,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'Missed 1 payments', 'Recent salary delay']"
CUST000104,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 2 payments', 'Recent salary delay']"
CUST000105,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000106,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'Missed 2 payments', 'Recent salary delay']"
CUST000107,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 3 payments']"
CUST000108,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 3 payments', 'Recent salary delay']"
CUST000109,Moderate,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000110,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 2 payments']"
CUST000111,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 3 payments', 'Recent salary delay']"
CUST000112,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000113,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['No immediate risk signals']
CUST000114,High,Erratic Spending,Unstable,High,High,Impulse Spender Under Stress,0.9,"['High risk score detected', 'High credit utilization', 'Erratic spending behavior', 'High debt-to-income stress', 'Missed 4 payments', 'Recent salary delay']"
CUST000115,Low,Erratic Spending,Stable,Moderate,Moderate,Moderate User,0.9,['Erratic spending behavior']
CUST000116,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000117,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'Missed 5 payments']"
CUST000118,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Recent salary delay']"
CUST000119,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000120,High,High Lifestyle Spender,Unstable,Moderate,High,High Lifestyle Spender,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 2 payments', 'Recent salary delay']"
CUST000121,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000122,Moderate,Erratic Spending,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000123,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 1 payments']
CUST000124,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 2 payments']"
CUST000125,Moderate,Stable Spender,Unstable,Low,High,Moderate User,0.9,"['Missed 1 payments', 'Recent salary delay']"
CUST000126,High,High Lifestyle Spender,Stable,Moderate,High,High Lifestyle Spender,0.9,"['High risk score detected', 'Missed 3 payments']"
CUST000127,Low,High Lifestyle Spender,Stable,Moderate,High,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000128,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['No immediate risk signals']
CUST000129,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 1 payments']
CUST000130,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 1 payments']"
CUST000131,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000132,Low,Erratic Spending,Stable,Low,High,Impulse Spender Under Stress,0.9,['Missed 1 payments']
CUST000133,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000134,Low,High Lifestyle Spender,Stable,Low,Low,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000135,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000136,Low,Stable Spender,Stable,Low,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000137,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000138,Low,Erratic Spending,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000139,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 4 payments', 'Recent salary delay']"
CUST000140,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Recent salary delay']"
CUST000141,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 1 payments']
CUST000142,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000143,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 1 payments']
CUST000144,Low,High Lifestyle Spender,Stable,Low,Low,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000145,Moderate,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000146,Low,High Lifestyle Spender,Stable,Moderate,High,High Lifestyle Spender,0.9,['Missed 1 payments']
CUST000147,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 1 payments', 'Recent salary delay']"
CUST000148,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 1 payments']
CUST000149,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000150,High,Stable Spender,Stable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 1 payments']"
CUST000151,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000152,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 2 payments']
CUST000153,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000154,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 3 payments']"
CUST000155,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000156,High,Stable Spender,Stable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'Missed 2 payments']"
CUST000157,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High debt-to-income stress', 'Missed 1 payments']"
CUST000158,High,Stable Spender,Stable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 3 payments']"
CUST000159,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000160,Low,High Lifestyle Spender,Stable,Moderate,High,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000161,Low,Stable Spender,Unstable,Low,High,Moderate User,0.9,"['Missed 1 payments', 'Recent salary delay']"
CUST000162,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000163,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['No immediate risk signals']
CUST000164,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000165,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000166,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000167,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000168,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000169,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000170,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'Missed 1 payments', 'Recent salary delay']"
CUST000171,Low,High Lifestyle Spender,Stable,Low,Moderate,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000172,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000173,High,High Lifestyle Spender,Unstable,Moderate,High,High Lifestyle Spender,0.9,"['High risk score detected', 'Missed 2 payments', 'Recent salary delay']"
CUST000174,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 7 payments', 'Recent salary delay']"
CUST000175,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['No immediate risk signals']
CUST000176,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000177,Low,High Lifestyle Spender,Stable,Moderate,Low,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000178,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['High debt-to-income stress']
CUST000179,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'Missed 1 payments', 'Recent salary delay']"
CUST000180,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000181,Moderate,Erratic Spending,Stable,Moderate,High,Impulse Spender Under Stress,0.9,['Missed 1 payments']
CUST000182,Low,High Lifestyle Spender,Stable,Moderate,High,High Lifestyle Spender,0.9,['Missed 1 payments']
CUST000183,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 2 payments', 'Recent salary delay']"
CUST000184,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000185,High,High Lifestyle Spender,Unstable,Moderate,High,High Lifestyle Spender,0.9,"['High risk score detected', 'Recent salary delay']"
CUST000186,High,Erratic Spending,Unstable,High,High,Impulse Spender Under Stress,0.9,"['High risk score detected', 'High credit utilization', 'Erratic spending behavior', 'High debt-to-income stress', 'Missed 2 payments', 'Recent salary delay']"
CUST000187,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000188,High,Stable Spender,Stable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 4 payments']"
CUST000189,Low,Stable Spender,Unstable,Moderate,Moderate,Moderate User,0.9,['Recent salary delay']
CUST000190,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['No immediate risk signals']
CUST000191,High,Erratic Spending,Stable,Moderate,High,Impulse Spender Under Stress,0.9,"['High risk score detected', 'Missed 3 payments']"
CUST000192,Low,Erratic Spending,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000193,Low,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,['Recent salary delay']
CUST000194,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000195,Low,Stable Spender,Stable,Low,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000196,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000197,Low,Stable Spender,Unstable,Low,Moderate,Moderate User,0.9,['Recent salary delay']
CUST000198,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000199,High,Stable Spender,Stable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 3 payments']"
CUST000200,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 3 payments', 'Recent salary delay']"
CUST000201,Low,High Lifestyle Spender,Stable,Low,Moderate,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000202,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000203,Low,Stable Spender,Stable,Low,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000204,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000205,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 1 payments']
CUST000206,High,Erratic Spending,Unstable,Moderate,High,Impulse Spender Under Stress,0.9,"['High risk score detected', 'Erratic spending behavior', 'High debt-to-income stress', 'Missed 3 payments', 'Recent salary delay']"
CUST000207,Low,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['Missed 2 payments']
CUST000208,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'Missed 3 payments', 'Recent salary delay']"
CUST000209,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['High debt-to-income stress']
CUST000210,Low,Stable Spender,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000211,Low,Erratic Spending,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000212,Low,High Lifestyle Spender,Stable,Low,Low,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000213,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress', 'Missed 4 payments', 'Recent salary delay']"
CUST000214,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 2 payments']
CUST000215,High,Stable Spender,Unstable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'High debt-to-income stress', 'Missed 2 payments', 'Recent salary delay']"
CUST000216,Low,Stable Spender,Stable,Low,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000217,Low,High Lifestyle Spender,Stable,Moderate,Low,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000218,Low,High Lifestyle Spender,Stable,Moderate,Low,High Lifestyle Spender,0.9,['No immediate risk signals']
CUST000219,High,Stable Spender,Stable,Moderate,High,Moderate User,0.9,"['High risk score detected', 'Missed 1 payments']"
CUST000220,High,Stable Spender,Unstable,High,High,Moderate User,0.9,"['High risk score detected', 'High credit utilization', 'Missed 1 payments', 'Recent salary delay']"
CUST000221,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000222,Low,Stable Spender,Stable,Low,High,Moderate User,0.9,['Missed 1 payments']
CUST000223,Low,High Lifestyle Spender,Stable,Moderate,High,High Lifestyle Spender,0.9,['Missed 1 payments']
CUST000224,High,High Lifestyle Spender,Stable,High,High,High Lifestyle Spender,0.9,"['High risk score detected', 'High credit utilization', 'High debt-to-income stress']"
CUST000225,Low,Stable Spender,Stable,Moderate,Low,Stable Planner,0.9,['No immediate risk signals']
CUST000226,Moderate,Erratic Spending,Stable,Moderate,Moderate,Moderate User,0.9,['No immediate risk signals']
CUST000227,Low,Stable Spender,Unstable,Moderate,Low,Stable Planner,0.9,['Recent salary delay']
CUST000228,Moderate,Stable Spender,Stable,Moderate,High,Moderate User,0.9,['No immediate risk signals']
CUST000229,Low,Stable Spender,Stable,Low,Moderate,Moderate User,0.9,['No immediate risk signals']
